name, lat (degrees), lon (degrees), alt (feet), trk (degrees), gs (knots), vs (f/m), time (s)
TRAF3, 37.02415028, -76.58850753, 650.79037093, 163.20009939, 35.00010080, -0.92976129, 89.0
TRAF2, 37.01829051, -76.58960429, 656.36590000, 134.95086086, 29.28239045, 0.00000000, 89.0
TRAF1, 37.02456861, -76.59239622, 656.36590000, -19.03269044, 25.21632383, 0.00000000, 89.0
TRAF3, 37.02399091, -76.58847404, 652.05421898, 177.75160996, 35.00010080, 85.26678589, 90.0
TRAF2, 37.01819473, -76.58948413, 656.36590000, 134.95093320, 29.28239045, 0.00000000, 90.0
TRAF1, 37.02467897, -76.59244391, 656.36590000, -19.03271916, 25.21632383, 0.00000000, 90.0
TRAF3, 37.02382993, -76.58849178, 653.47533208, -167.69687947, 35.00010080, 85.26678589, 91.0
TRAF2, 37.01809896, -76.58936397, 656.36590000, 134.95100555, 29.28239045, 0.00000000, 91.0
TRAF1, 37.02402861, -76.59216290, 656.36590000, -19.03252976, 29.41572401, 0.00000000, 91.0
TRAF3, 37.02352959, -76.58860818, 656.31755828, -162.28850594, 33.72600609, 85.26678589, 92.0
TRAF2, 37.01800318, -76.58924381, 656.36590000, 134.95107789, 29.28239045, 0.00000000, 92.0
TRAF1, 37.02415735, -76.59221853, 656.36590000, -19.03256325, 29.41572401, 0.00000000, 92.0
TRAF3, 37.02338085, -76.58866767, 657.73867138, -162.28854176, 33.72600609, 85.26678589, 93.0
TRAF2, 37.01790740, -76.58912365, 656.36590000, 134.95115024, 29.28239045, 0.00000000, 93.0
TRAF1, 37.02428609, -76.59227415, 656.36590000, -19.03259675, 29.41572401, 0.00000000, 93.0
TRAF3, 37.02323211, -76.58872717, 659.15978447, -162.28857759, 33.72600609, 85.26678589, 94.0
TRAF2, 37.01781162, -76.58900348, 656.36590000, 134.95122258, 29.28239045, 0.00000000, 94.0
TRAF1, 37.02441483, -76.59232978, 656.36590000, -19.03263025, 29.41572401, 0.00000000, 94.0
